user_id,product_id,rating
AG3D6O4STAQKAY2UVGEUV46KN35Q,B07JW9H4J1,5.0
AHMY5CWJMMK5BJRBBSNLYT3ONILA,B07JW9H4J1,5.0
AHCTC6ULH4XB6YHDY6PCH2R772LQ,B07JW9H4J1,5.0
AGYHHIERNXKA6P5T7CZLXKVPT7IQ,B07JW9H4J1,4.7
AG4OGOFWXJZTQ2HKYIOCOY3KXF2Q,B07JW9H4J1,4.0
AENGU523SXMOS7JPDTW52PNNVWGQ,B07JW9H4J1,4.0
AEQJHCVTNINBS4FKTBGQRQTGTE5Q,B07JW9H4J1,3.2
AFC3FFC5PKFF5PMA52S3VCHOZ5FQ,B07JW9H4J1,2.8
AECPFYFQVRUWC3KGNLJIOREFP5LQ,B098NS6PVG,5.0
AGYYVPDD7YG7FYNBXNGXZJT525AQ,B098NS6PVG,5.0
AHONIZU3ICIEHQIGQ6R2VFRSBXOQ,B098NS6PVG,5.0
AFPHD2CRPDZMWMBL7WXRSVYWS5JA,B098NS6PVG,5.0
AEZ346GX3HJ4O4XNRPHCNHXQURMQ,B098NS6PVG,3.9
AEPSWFPNECKO34PUC7I56ITGXR6Q,B098NS6PVG,2.9
AHWVEHR5DYLVFTO2KF3IZATFQSWQ,B098NS6PVG,2.7
AH4QT33M55677I7ISQOAKEQWACYQ,B098NS6PVG,2.5
AGU3BBQ2V2DDAMOAKGFAWDDQ6QHA,B096MSW6CT,5.0
AESFLDV2PT363T2AQLWQOWZ4N3OA,B096MSW6CT,5.0
AHTPQRIMGUD4BYR5YIHBH3CCGEFQ,B096MSW6CT,4.5
AEUVWXYP5LT7PZLLZENEO2NODPBQ,B096MSW6CT,4.3
AHC7MPW55DOO6WNCOQVA2VHOD26A,B096MSW6CT,4.2
AFDI6FRPFBTNBG7BAEB7JDJSMKDQ,B096MSW6CT,3.2
AFQKCEEEKXCOHTDG4WUN3XPPHJQQ,B096MSW6CT,2.8
AHKUUFNMBZIDLSSPA4FEHIO2EC7Q,B096MSW6CT,2.1
AEWAZDZZJLQUYVOVGBEUKSLXHQ5A,B08HDJ86NZ,5.0
AG5HTSFRRE6NL3M5SGCUQBP7YSCA,B08HDJ86NZ,5.0
AH725ST5NW2Y4JZPKUNTIJCUK2BA,B08HDJ86NZ,5.0
AHV3TXIFCJPMS4D5JATCEUR266MQ,B08HDJ86NZ,4.0
AGWIGDEMFIIUAOXYY2QATNBSUGHA,B08HDJ86NZ,4.0
